age,gender,employment_status,state_of_residence,total_monthly_inflow,total_monthly_outflow,transaction_frequency,salary_payment_detected,end_of_month_balance,highest_credit_amount,highest_debit_amount,gambling_transactions_count,loan_related_transactions_count,previous_loan_taken,previous_loan_amount,repayment_status,missed_payment_count,airtime_spend_per_month,data_subscription_spend,loan_defaulted
44,Male,Self-employed,Bauchi,359887,286050,46,No,83239,196429,111384,1,3,Yes,671552,Late,0,500,1099,1
37,Female,Employed,Kano,330738,217117,28,Yes,224185,240858,100628,0,1,No,0,N/A,0,3595,5182,0
30,Female,Employed,Bauchi,80000,52865,54,Yes,129620,45824,30481,0,0,Yes,234441,On-time,0,4561,3131,1
25,Male,Self-employed,Osun,173914,92094,47,No,227232,106865,50742,0,1,No,0,N/A,0,5625,6888,0
28,Female,Self-employed,Cross River,414512,309900,44,No,198883,201456,158224,1,1,Yes,1120847,On-time,0,7105,3681,0
32,Female,Employed,Enugu,351821,371739,48,Yes,0,263078,132220,4,1,Yes,370885,On-time,5,4648,4609,1
31,Female,Employed,Edo,227266,172413,66,Yes,74642,144600,86370,2,0,No,0,N/A,0,5248,6885,0
25,Female,Employed,Edo,361370,284870,24,Yes,121446,171816,70313,0,1,No,0,N/A,0,4825,3308,0
26,Female,Unemployed,Kano,67348,34899,27,No,200383,43986,8115,0,1,Yes,95916,Late,0,6308,3567,1
36,Female,Self-employed,Lagos,50000,36329,58,No,53686,27315,7430,0,0,Yes,167165,On-time,0,4645,2518,0
35,Female,Self-employed,Kaduna,260423,197177,41,No,107332,107241,115405,1,0,Yes,276249,Late,3,4139,7950,1
25,Male,Employed,Cross River,691364,465935,41,Yes,327246,424344,202087,0,0,Yes,3806505,On-time,1,8379,2575,0
39,Female,Self-employed,Katsina,50000,32295,27,No,51697,39359,19198,0,1,No,0,N/A,0,4683,10628,0
41,Female,Self-employed,Akwa Ibom,118285,104349,42,No,55950,91659,51161,3,2,No,0,N/A,0,1359,10494,0
32,Male,Employed,Lagos,93029,83166,55,No,52758,66903,32224,0,1,No,0,N/A,0,811,3201,1
19,Male,Unemployed,Kwara,46498,44760,44,No,633,36130,19804,4,2,No,0,N/A,0,5423,1626,1
23,Female,Employed,Kano,399847,251934,23,Yes,306930,223947,136264,0,1,Yes,1503238,On-time,0,6053,5498,0
29,Female,Employed,Cross River,573356,517878,48,Yes,20426,176176,176200,2,3,Yes,2264520,Late,4,1633,500,1
35,Female,Self-employed,Abuja,550424,522427,36,No,17107,402460,302907,2,1,No,0,N/A,0,593,4833,1
37,Female,Employed,Imo,80000,66134,33,Yes,29672,27034,16636,0,0,Yes,131218,Late,0,1797,6463,0
20,Female,Employed,Bauchi,658263,357489,30,Yes,355386,210930,95654,0,0,No,0,N/A,0,2369,3322,0
36,Female,Self-employed,Lagos,290345,195285,5,No,122136,203155,88104,0,1,Yes,409036,On-time,0,3775,4337,0
36,Male,Employed,Borno,270424,160258,26,Yes,217380,164722,55700,0,0,No,0,N/A,0,7289,4252,0
23,Male,Employed,Kwara,811832,427667,51,Yes,484699,459747,127012,0,0,Yes,1904733,On-time,0,3626,4856,0
44,Female,Employed,Kwara,234016,205490,29,Yes,60237,149665,105964,2,0,Yes,817233,On-time,1,4154,2416,1
29,Male,Self-employed,Kano,93295,85919,32,No,3551,58118,36800,2,3,Yes,259405,Late,1,4055,5382,1
34,Female,Employed,Edo,281283,250389,25,Yes,12150,124481,67442,0,1,Yes,1542507,Late,1,4097,2507,1
48,Female,Self-employed,Kwara,236989,211843,21,Yes,69093,167915,64222,2,4,Yes,439481,On-time,0,5056,5622,0
37,Male,Employed,Edo,489951,267886,23,Yes,300327,251206,107969,0,0,Yes,1083795,On-time,0,4519,2287,0
40,Female,Employed,Oyo,340088,274287,16,Yes,73133,159263,69604,0,1,Yes,447853,On-time,0,2796,7280,0
32,Female,Unemployed,Imo,38299,29963,71,No,29035,29289,15947,0,2,Yes,223096,On-time,1,4742,3188,0
18,Female,Employed,Anambra,525167,382297,38,Yes,183657,210494,101485,0,1,Yes,956501,On-time,0,5086,8104,0
19,Male,Employed,Rivers,309469,217912,49,Yes,190601,151167,83911,0,1,No,0,N/A,0,6103,2469,0
25,Male,Employed,Rivers,314123,199747,47,Yes,297540,192280,49289,0,1,No,0,N/A,0,4330,6706,0
32,Female,Employed,Katsina,426406,270070,53,Yes,337236,296053,70399,0,0,Yes,1091006,Late,0,5660,2431,0
28,Male,Employed,Delta,421846,246999,40,Yes,342673,149888,133028,0,0,No,0,N/A,0,3460,2063,0
33,Male,Self-employed,Ogun,416257,283058,21,No,268605,269307,118060,0,0,Yes,940322,On-time,0,1883,3461,1
35,Male,Employed,Plateau,216373,159428,5,No,104548,128334,64146,0,0,Yes,877883,On-time,0,4218,7177,0
52,Male,Employed,Oyo,231428,149056,42,No,211580,118506,73719,0,1,Yes,1312621,On-time,0,3819,7343,0
21,Female,Employed,Katsina,261786,200800,32,No,102114,79142,66946,0,2,Yes,782960,Late,0,5646,5219,0
30,Male,Employed,Delta,299632,166640,60,Yes,234431,110992,45085,0,0,No,0,N/A,0,500,4837,0
52,Female,Employed,Ogun,627343,315725,51,Yes,451054,244047,184518,0,0,No,0,N/A,0,3462,1680,0
43,Male,Employed,Osun,352089,194520,34,Yes,339218,141740,53741,0,0,Yes,416432,On-time,0,9139,1678,0
38,Female,Employed,Katsina,80000,51192,16,Yes,76751,31277,27885,0,0,No,0,N/A,0,3700,6583,0
27,Female,Self-employed,Cross River,214859,157111,33,No,94966,135245,33125,1,1,Yes,453322,On-time,1,5443,1612,1
23,Female,Self-employed,Plateau,60016,31500,45,No,92286,39678,17081,0,2,No,0,N/A,0,3278,8477,1
22,Male,Employed,Borno,438965,308416,30,Yes,139396,177316,64956,3,0,Yes,837184,Late,1,660,10294,1
27,Male,Employed,Katsina,547364,310364,8,Yes,369346,276257,130607,0,0,Yes,1740963,Late,0,4422,4709,1
27,Male,Employed,Delta,344354,249187,51,Yes,259140,176518,52077,1,1,Yes,806954,On-time,0,8310,7016,0
40,Female,Employed,Kaduna,156732,118248,36,Yes,44311,118669,29219,0,0,Yes,608524,On-time,2,4816,500,1
29,Male,Self-employed,Katsina,326085,267423,49,No,93588,126418,151298,0,0,Yes,1008858,On-time,2,4767,500,0
35,Female,Employed,Bauchi,134845,104890,43,Yes,47946,64433,51146,0,2,Yes,335171,On-time,1,2101,12897,1
41,Female,Employed,Imo,221246,112347,45,Yes,176106,132203,24780,0,0,No,0,N/A,0,9120,4711,0
36,Female,Self-employed,Oyo,273702,183955,61,No,188015,115830,97062,0,0,No,0,N/A,0,5264,7917,0
35,Male,Employed,Plateau,240929,175716,31,Yes,109840,186748,66491,0,1,No,0,N/A,0,4355,993,0
35,Male,Self-employed,Borno,380762,389545,51,No,0,161760,154170,2,5,Yes,801902,Late,4,5636,5401,1
33,Male,Self-employed,Osun,483232,343644,33,No,217026,345248,73815,0,1,Yes,1923915,Late,0,3131,4072,0
21,Female,Employed,Imo,538363,466404,21,Yes,32931,306729,240799,1,3,Yes,1396385,On-time,2,5735,5849,1
28,Male,Self-employed,Osun,408411,428707,35,No,0,194140,217300,3,1,Yes,1229176,Late,1,8597,3911,1
23,Female,Self-employed,Edo,564322,421974,27,Yes,152319,269357,132877,0,0,Yes,1400387,On-time,0,500,1377,0
19,Female,Employed,Cross River,325141,234029,22,Yes,281163,173527,104228,0,0,No,0,N/A,0,6334,9863,0
38,Female,Employed,Ogun,272369,148879,26,Yes,283815,129392,33220,0,0,No,0,N/A,0,3253,1479,0
29,Female,Employed,Katsina,401542,223301,29,Yes,238528,228271,97621,0,0,No,0,N/A,0,2319,5494,0
25,Female,Employed,Lagos,431524,275189,51,Yes,191992,217585,96061,0,0,No,0,N/A,0,5768,2147,0
37,Female,Employed,Enugu,454214,324865,19,Yes,172653,248715,127423,1,2,Yes,1799613,Late,1,3021,8132,1
40,Male,Employed,Kaduna,437589,306030,29,Yes,270080,317379,167373,0,1,No,0,N/A,0,5640,6521,0
26,Male,Employed,Delta,557323,407804,44,Yes,194158,410146,86331,1,2,Yes,2858556,On-time,2,3259,2499,1
37,Female,Self-employed,Imo,355285,222716,41,No,153718,157575,99502,1,1,Yes,2098288,On-time,0,1280,7238,0
28,Female,Employed,Bauchi,303833,209722,38,Yes,211538,237444,70623,0,0,No,0,N/A,0,5215,5559,0
44,Female,Employed,Edo,511044,364614,19,Yes,177627,241693,163480,0,2,No,0,N/A,0,2882,6131,0
40,Female,Employed,Osun,266720,151605,63,Yes,314597,136851,57694,0,1,Yes,484928,On-time,0,5297,7961,0
26,Female,Employed,Katsina,316638,233015,17,No,179173,196082,83661,0,0,No,0,N/A,0,5795,4380,0
36,Female,Unemployed,Cross River,62226,58625,31,No,2636,33390,34429,2,3,Yes,119948,Late,3,4685,6370,1
26,Male,Employed,Edo,446408,394093,54,Yes,16545,339459,176025,2,5,No,0,N/A,0,3820,9320,1
28,Female,Self-employed,Rivers,272771,236233,13,No,21593,118518,122610,0,1,No,0,N/A,0,3107,500,0
51,Male,Self-employed,Plateau,50000,41949,46,Yes,51756,34496,9054,2,0,Yes,170126,Late,0,3473,3790,1
30,Male,Self-employed,Oyo,374479,319221,61,Yes,25597,209279,75063,5,0,No,0,N/A,0,3461,4741,1
46,Female,Employed,Lagos,379311,317822,19,Yes,102515,151752,84856,0,1,No,0,N/A,0,4551,2604,0
30,Male,Self-employed,Katsina,350787,245702,45,No,186186,248151,57014,0,0,No,0,N/A,0,4229,7850,0
36,Female,Employed,Kwara,410201,423695,67,Yes,0,135438,126617,4,3,Yes,737427,Late,0,3359,6272,1
27,Female,Self-employed,Kwara,275616,176074,67,No,248998,114167,105386,1,0,Yes,1618958,On-time,0,1744,6692,0
31,Male,Employed,Osun,513656,350206,33,Yes,317137,263375,118500,0,1,No,0,N/A,0,876,11005,0
35,Female,Employed,Edo,105057,68086,26,Yes,221196,42582,30583,0,0,No,0,N/A,0,6753,7331,0
22,Female,Employed,Oyo,398570,318240,30,Yes,96455,293098,120333,0,1,No,0,N/A,0,500,5705,0
18,Female,Self-employed,Kano,347370,261092,33,No,120831,160691,132997,0,1,No,0,N/A,0,888,4182,0
35,Female,Employed,Kaduna,311112,233253,53,Yes,110630,203277,62235,0,2,Yes,571853,On-time,2,3356,11230,0
30,Female,Self-employed,Lagos,465451,344977,38,No,130510,202412,76872,4,2,Yes,1701617,Late,0,3738,1895,1
39,Male,Employed,Rivers,261685,190943,35,Yes,120140,204784,38565,0,3,Yes,1507059,On-time,0,5832,6039,0
27,Male,Employed,Kano,663256,354784,32,Yes,333867,301094,170960,0,1,No,0,N/A,0,5225,1839,0
28,Male,Employed,Edo,321397,269499,38,Yes,94613,248217,127553,0,1,Yes,1120349,On-time,0,5925,5922,0
31,Female,Employed,Delta,379634,254023,41,Yes,184432,238957,90824,0,0,Yes,1615784,On-time,0,4605,2737,0
37,Female,Employed,Rivers,398203,323899,41,Yes,112534,294374,117140,0,1,Yes,1049330,On-time,0,6093,6709,0
24,Female,Employed,Kaduna,543463,393489,31,Yes,179476,164603,129786,0,1,Yes,1539254,On-time,1,7189,2459,0
32,Female,Employed,Plateau,254155,230472,15,Yes,7971,152931,107696,2,3,Yes,1041387,Late,1,500,2951,1
36,Male,Self-employed,Edo,198236,116029,34,No,170642,99001,50132,0,1,Yes,727132,On-time,0,6768,6691,0
25,Male,Unemployed,Anambra,82767,75390,39,No,5632,27324,43256,0,1,Yes,228280,On-time,1,3932,2148,0
30,Female,Employed,Imo,495635,400389,25,Yes,114254,299941,194773,1,2,No,0,N/A,0,2793,500,0
27,Female,Employed,Katsina,204620,129174,43,Yes,223074,72320,55147,0,0,No,0,N/A,0,6794,4774,0
41,Female,Self-employed,Katsina,364953,237366,37,Yes,295040,270832,69128,1,1,No,0,N/A,0,4999,1110,0
25,Male,Unemployed,Kano,51740,47042,46,No,3242,22631,24887,0,5,Yes,161361,On-time,3,2653,5836,1
19,Male,Self-employed,Edo,66232,56123,39,No,53934,27047,13373,0,2,Yes,74060,Late,3,6449,9870,1
39,Male,Employed,Imo,568924,355117,9,Yes,411608,209489,169766,0,1,No,0,N/A,0,1128,500,0
27,Female,Employed,Rivers,395402,322520,26,Yes,90219,134321,75554,1,3,No,0,N/A,0,1798,2866,0
22,Male,Employed,Ogun,236143,165321,35,No,132890,134602,91262,0,0,No,0,N/A,0,4925,11353,0
24,Male,Employed,Osun,454249,384353,64,Yes,95830,149934,163318,1,3,No,0,N/A,0,2018,6888,0
41,Female,Employed,Kaduna,587519,344810,30,No,382393,409926,196842,0,1,Yes,1276802,Late,0,1815,4050,0
25,Female,Self-employed,Oyo,697479,364280,40,No,489147,253782,193223,0,1,No,0,N/A,0,5416,7870,0
28,Female,Self-employed,Cross River,50000,38969,42,No,36155,30014,15832,0,1,Yes,279847,Late,0,4502,4995,1
36,Female,Employed,Katsina,284211,248853,52,Yes,79420,199789,128411,0,2,Yes,717176,Late,0,3650,2732,0
26,Female,Self-employed,Edo,285072,236095,34,No,90988,104411,128625,0,0,Yes,1600333,Late,0,8929,4099,1
31,Female,Self-employed,Rivers,50000,26829,35,No,109327,16704,5642,0,1,Yes,83791,Late,0,4113,6589,0
30,Male,Employed,Kwara,359671,219355,5,Yes,179335,223144,62826,0,0,No,0,N/A,0,7061,8656,0
28,Male,Employed,Kano,372300,277705,29,Yes,157647,138169,69024,0,0,No,0,N/A,0,2773,4092,0
30,Male,Self-employed,Bauchi,308903,266519,35,Yes,75068,139972,119815,1,1,Yes,1122926,On-time,0,1912,4373,0
27,Male,Employed,Kaduna,273933,214441,17,Yes,101731,182660,108876,0,0,Yes,289042,Late,1,2846,500,0
18,Female,Employed,Anambra,128163,64469,37,Yes,127110,100984,33563,0,1,Yes,743074,On-time,0,2011,4907,0
34,Male,Self-employed,Kwara,65249,37920,34,Yes,180053,35104,13285,0,0,No,0,N/A,0,2250,500,0
37,Male,Employed,Plateau,521348,317709,18,Yes,269479,375597,68425,0,0,Yes,2872007,On-time,0,8314,3182,0
29,Female,Employed,Borno,545261,281716,58,Yes,376858,204518,139441,0,0,No,0,N/A,0,8026,5409,0
25,Female,Employed,Akwa Ibom,147931,113898,20,Yes,73892,93297,31216,0,0,Yes,276711,On-time,0,4565,2876,0
27,Male,Employed,Imo,441069,342440,54,Yes,112884,159090,152730,1,0,No,0,N/A,0,5283,8673,0
48,Female,Employed,Akwa Ibom,568342,482871,61,Yes,127000,357054,121315,0,4,Yes,1529600,On-time,1,1910,500,0
41,Female,Employed,Ogun,316811,228652,30,Yes,224404,140332,120357,2,0,Yes,1681268,On-time,0,5675,2559,0
38,Female,Employed,Abuja,483289,401725,46,Yes,94548,276689,238571,0,2,No,0,N/A,0,3811,4742,0
46,Male,Employed,Lagos,354571,307817,12,Yes,84730,202502,134251,0,1,No,0,N/A,0,500,5235,0
27,Male,Self-employed,Katsina,339157,289037,48,Yes,62323,180017,58886,0,2,Yes,757471,On-time,1,3581,2448,0
25,Male,Self-employed,Kaduna,580582,379698,40,No,254728,277339,194981,0,0,No,0,N/A,0,3731,5044,1
33,Male,Employed,Cross River,331857,193052,41,Yes,185604,150265,106306,0,1,No,0,N/A,0,7453,3801,0
27,Female,Self-employed,Rivers,50000,51195,8,Yes,0,30489,17518,4,2,No,0,N/A,0,2896,12674,1
40,Male,Unemployed,Anambra,106263,105217,65,No,629,67820,54922,3,3,Yes,249622,Late,2,3985,8937,1
44,Male,Employed,Cross River,492173,309732,45,Yes,281676,183937,102607,0,1,Yes,1560236,On-time,0,3834,4634,0
47,Male,Employed,Oyo,196371,129417,62,Yes,228371,70530,47102,0,0,No,0,N/A,0,3255,8266,0
34,Male,Employed,Oyo,276672,212180,18,Yes,70670,86348,113023,0,3,No,0,N/A,0,4281,500,0
33,Female,Employed,Rivers,280094,299191,11,Yes,0,110091,155895,0,1,Yes,921770,Late,2,1777,4845,1
31,Male,Self-employed,Anambra,50000,42295,32,Yes,47153,18972,18782,0,1,Yes,83838,On-time,3,5532,8680,0
32,Female,Self-employed,Delta,121963,107480,22,No,30712,53172,54144,1,2,Yes,396221,On-time,1,2947,4957,0
31,Female,Employed,Enugu,85575,62038,19,Yes,47465,54074,36314,0,0,No,0,N/A,0,5404,5290,0
19,Female,Employed,Imo,482691,432616,21,Yes,66618,302689,120803,0,1,Yes,1847090,On-time,1,4932,4893,0
35,Female,Unemployed,Katsina,37962,40340,22,No,0,21323,9919,0,2,Yes,201225,Late,2,3408,5456,1
46,Male,Employed,Imo,337602,209709,22,Yes,177732,260915,113240,0,0,No,0,N/A,0,3103,11030,0
26,Female,Employed,Lagos,243385,195316,36,Yes,89357,128901,43122,4,1,No,0,N/A,0,2743,6807,1
39,Female,Employed,Ogun,524290,330222,23,Yes,250946,387405,182227,0,0,Yes,2806467,On-time,0,3416,500,0
34,Male,Employed,Edo,322928,232861,82,Yes,124622,229618,82006,1,2,Yes,1575261,On-time,1,500,5601,1
38,Male,Employed,Oyo,528221,316400,43,Yes,396537,299244,83270,0,2,No,0,N/A,0,5965,6969,0
48,Male,Self-employed,Kano,232201,173194,42,No,104335,93114,47401,1,1,Yes,1270127,On-time,0,2089,6270,0
32,Female,Employed,Plateau,353632,262317,56,Yes,186511,280096,122546,0,0,Yes,1475832,On-time,0,1621,4234,0
23,Female,Self-employed,Lagos,602726,529224,38,No,82075,401263,145517,0,2,Yes,3188954,Late,3,4336,8952,1
27,Female,Employed,Oyo,547567,336653,33,No,295317,299577,178863,0,0,Yes,1465311,On-time,0,5091,2480,0
32,Female,Employed,Delta,250592,172208,5,Yes,215590,152977,58714,0,0,No,0,N/A,0,3793,8675,0
38,Female,Unemployed,Borno,71173,54448,23,No,52609,23830,14698,2,2,Yes,375699,On-time,0,5173,3575,0
34,Female,Employed,Cross River,368956,212639,64,Yes,214592,116809,68380,0,0,No,0,N/A,0,5027,5538,0
33,Female,Self-employed,Imo,394249,360766,51,No,25232,250492,153028,5,5,Yes,613036,Late,3,590,500,1
36,Female,Unemployed,Edo,67588,48808,34,No,42794,21696,24206,1,0,Yes,377842,On-time,2,5418,3693,0
34,Male,Employed,Bauchi,460821,324234,44,Yes,184913,305678,104371,1,1,Yes,2371833,On-time,1,5318,3840,0
39,Male,Employed,Kano,213394,159699,36,Yes,59253,114034,51184,1,0,Yes,851823,Late,0,1892,1796,1
24,Male,Employed,Osun,334332,233579,32,Yes,126993,197725,139721,0,2,No,0,N/A,0,4140,8485,0
39,Male,Self-employed,Bauchi,455535,487306,42,No,0,254517,181361,4,2,Yes,1177436,On-time,4,6948,3943,1
29,Male,Employed,Kwara,665780,670990,18,Yes,0,433633,197924,2,4,No,0,N/A,0,2069,5090,0
27,Female,Self-employed,Ogun,356362,231693,37,No,278515,197115,105105,0,0,Yes,482749,On-time,1,2515,1039,0
30,Female,Self-employed,Abuja,202725,181298,24,No,41337,109678,50480,0,1,Yes,821826,Late,0,2211,2991,0
24,Female,Employed,Osun,512671,329653,26,Yes,295298,229032,188792,0,0,No,0,N/A,0,2441,4417,0
18,Female,Employed,Imo,365531,262654,5,Yes,211715,238007,156837,0,0,Yes,605847,On-time,0,2583,500,0
26,Female,Employed,Kaduna,390068,320472,42,Yes,88517,277687,186522,1,0,Yes,1991683,On-time,1,4289,3155,0
33,Female,Self-employed,Bauchi,130187,122670,5,No,2709,66326,61392,6,2,Yes,176408,Late,2,3550,3049,1
32,Male,Self-employed,Kano,83728,68550,56,No,20633,51747,38752,1,2,Yes,340175,On-time,0,4763,6909,0
39,Female,Employed,Rivers,95435,92715,25,Yes,1600,30717,23104,0,4,Yes,362005,Late,3,6531,2401,1
34,Female,Employed,Lagos,253065,169108,61,Yes,153525,114678,87191,0,0,No,0,N/A,0,6784,4249,0
29,Male,Self-employed,Borno,255824,195391,47,No,91631,124224,86055,0,1,Yes,1158352,Late,3,2026,9446,1
40,Female,Self-employed,Katsina,106407,53880,28,No,188775,65807,18116,2,0,No,0,N/A,0,3698,2858,0
36,Female,Self-employed,Akwa Ibom,50000,45223,54,No,3793,26350,21494,3,3,Yes,85138,Late,1,3052,4956,1
31,Female,Unemployed,Enugu,46908,40234,33,No,3296,17825,8422,4,5,Yes,224270,Late,2,500,3935,1
36,Female,Employed,Cross River,385936,272732,48,Yes,310326,171433,159399,0,0,No,0,N/A,0,920,541,0
30,Male,Employed,Kwara,377495,371993,17,Yes,3746,270597,139935,0,0,Yes,948141,Late,0,2424,3137,0
47,Female,Self-employed,Enugu,50000,32255,46,No,62800,26101,14530,0,2,Yes,172224,Late,0,4583,7698,1
29,Male,Employed,Osun,282812,144195,15,Yes,244215,161630,41975,0,0,No,0,N/A,0,4531,10307,0
34,Female,Employed,Oyo,250177,179945,48,Yes,260159,93665,69291,0,0,No,0,N/A,0,3973,6171,0
31,Female,Employed,Osun,132791,73142,22,Yes,216772,65501,29586,0,1,Yes,459672,On-time,0,6112,5669,0
36,Male,Employed,Bauchi,428168,275475,44,Yes,344781,171368,67134,0,1,No,0,N/A,0,3610,8401,0
41,Male,Employed,Borno,448385,226335,37,Yes,327881,288697,110696,0,1,Yes,2000990,On-time,0,3180,2758,0
26,Male,Self-employed,Cross River,119017,129652,24,No,0,95083,61030,1,1,Yes,612026,Late,4,5450,6548,1
30,Female,Employed,Abuja,470061,312419,46,Yes,315542,339835,139164,0,0,No,0,N/A,0,3946,2354,0
28,Male,Self-employed,Plateau,158467,148516,32,No,3537,111579,86001,3,4,Yes,215765,Late,2,4060,6825,1
38,Male,Employed,Borno,568253,478137,35,Yes,97376,191189,172678,1,2,Yes,1407251,On-time,0,2461,2180,0
32,Female,Self-employed,Anambra,232387,210660,5,No,13475,183467,92984,2,3,Yes,648143,Late,3,2290,6005,1
33,Male,Employed,Kano,678123,444981,15,Yes,266061,434886,132058,2,2,No,0,N/A,0,5686,6678,0
26,Female,Self-employed,Kano,71987,49947,35,No,90893,39473,15668,0,0,No,0,N/A,0,4670,2157,0
21,Female,Self-employed,Bauchi,451917,322008,19,No,172679,136438,96193,0,0,Yes,2126052,On-time,1,2683,4088,0
44,Male,Self-employed,Cross River,194280,135458,48,No,239358,100425,76395,0,1,Yes,560806,On-time,0,3868,10945,0
36,Male,Employed,Kano,428336,356922,22,Yes,119886,291490,207125,0,1,Yes,1932952,Late,0,2764,4051,1
27,Female,Employed,Imo,329083,243258,28,Yes,195897,169926,93187,0,0,No,0,N/A,0,2898,1337,0
37,Female,Employed,Abuja,282012,297676,56,Yes,0,114496,137806,0,1,No,0,N/A,0,6078,4772,1
24,Female,Self-employed,Lagos,50000,26707,47,No,160588,33464,8713,0,0,No,0,N/A,0,1621,9928,0
30,Female,Self-employed,Bauchi,220848,170838,44,No,57624,78568,69419,0,0,Yes,516334,On-time,2,949,1598,0
40,Male,Employed,Kaduna,466846,382359,5,No,89933,248384,223832,1,1,No,0,N/A,0,8035,5648,0
39,Male,Employed,Abuja,368113,329535,58,Yes,49227,113553,167424,3,1,No,0,N/A,0,3524,5576,0
18,Female,Employed,Rivers,80000,47434,38,Yes,52809,35992,21752,0,0,No,0,N/A,0,5340,7030,0
36,Male,Employed,Kwara,290625,161895,32,Yes,193118,157529,80782,0,0,No,0,N/A,0,2609,4876,0
35,Female,Employed,Kaduna,319140,177552,25,Yes,196837,118209,79714,0,0,Yes,1565895,On-time,0,1777,5739,1
23,Male,Employed,Plateau,587081,331686,19,Yes,337529,445443,104879,0,0,Yes,1966686,On-time,0,4660,6859,0
18,Male,Employed,Edo,355679,266182,43,Yes,117024,227567,61353,0,0,Yes,844210,On-time,0,3639,9118,0
28,Female,Employed,Imo,136406,69907,31,Yes,238355,107842,36159,0,0,Yes,718712,Late,0,4095,5995,0
31,Male,Self-employed,Borno,151004,98996,37,No,248620,59654,51184,0,0,No,0,N/A,0,4053,6716,0
21,Female,Unemployed,Abuja,31155,31471,47,No,0,11880,13407,1,3,Yes,151355,Late,1,3373,4997,1
29,Male,Employed,Katsina,482349,329065,28,Yes,190455,248096,69652,0,0,No,0,N/A,0,8199,4258,0
18,Female,Self-employed,Oyo,413954,309767,32,No,132271,281697,108012,0,1,No,0,N/A,0,6839,3198,0
28,Female,Employed,Plateau,247305,158527,46,Yes,173322,155385,46949,0,0,No,0,N/A,0,4028,2138,0
43,Male,Self-employed,Kaduna,299061,182174,43,No,241302,166980,91726,0,1,Yes,721478,On-time,0,5558,4128,0
